name,symbol,price_usd,change,Volume_M,market_cap_B,pe_ratio
Occidental Petroleum Corporation,OXY,44.71,0.08,4.779,44.001,18.1
Freshworks Inc.,FRSH,14.19,-0.07,5.615,4.186,
The Wendy's Company,WEN,10.76,0.09,5.571,2.066,11.45
Roblox Corporation,RBLX,118.82,0.7,4.735,80.594,
UWM Holdings Corporation,UWMC,4.27,-0.11,5.519,9.869,
"O'Reilly Automotive, Inc.",ORLY,97.66,-0.5,5.514,83.066,35.0
Fastenal Company,FAST,47.75,-0.18,5.509,54.8,45.91
Vistra Corp.,VST,192.2,-4.04,4.849,65.22,30.51
"United Parcel Service, Inc.",UPS,103.56,1.03,4.804,87.694,15.12
"CenterPoint Energy, Inc.",CNP,38.36,0.52,5.429,25.044,26.83
Zeta Global Holdings Corp.,ZETA,16.04,0.15,5.304,3.778,
Albemarle Corporation,ALB,83.74,-0.44,5.362,9.853,
Medtronic plc,MDT,92.94,0.62,5.25,119.08,25.75
"Moderna, Inc.",MRNA,34.15,0.14,5.372,13.207,
Danaher Corporation,DHR,205.48,2.67,5.356,147.134,43.63
NatWest Group plc,NWG,14.14,0.57,5.296,57.185,8.89
NOV Inc.,NOV,13.97,0.26,5.281,5.249,9.38
"Nasdaq, Inc.",NDAQ,94.84,1.34,5.277,54.419,36.48
VICI Properties Inc.,VICI,33.38,-0.03,5.276,35.273,13.35
Trump Media & Technology Group Corp.,DJT,19.15,0.04,5.274,5.306,17.25
"United Airlines Holdings, Inc.",UAL,91.11,1.38,5.263,29.495,9.14
V.F. Corporation,VFC,12.67,-0.01,5.233,4.938,70.39
"Citizens Financial Group, Inc.",CFG,49.49,0.21,5.219,21.418,15.09
The Mosaic Company,MOS,36.9,-0.49,5.211,11.706,31.81
"T-Mobile US, Inc.",TMUS,243.55,-3.95,5.205,274.096,23.0
BlackBerry Limited,BB,3.91,-0.05,5.168,2.336,195.5
"Viking Therapeutics, Inc.",VKTX,34.42,0.92,5.18,3.87,
"Interactive Brokers Group, Inc.",IBKR,65.5,0.8,5.153,110.722,34.29
"The TJX Companies, Inc.",TJX,126.44,0.18,5.143,141.059,29.75
"Compass, Inc.",COMP,7.22,0.09,5.138,3.763,
"YETI Holdings, Inc.",YETI,38.86,2.06,4.731,3.218,18.77
Tencent Music Entertainment Group,TME,21.3,0.07,5.045,32.899,25.06
Indivior PLC,INDV,17.14,0.33,5.044,2.139,
Viatris Inc.,VTRS,9.41,0.06,5.031,11.044,
